тема;текст;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;Здравствуйте, сколько будет стоить арендовать, шуроповёрт на одни сутки;;;;;;;;;;;;;;;;;;;;;;;
фен;Здравствуйте, сколько будет стоить арендовать, строительный фен на одни сутки;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Доброй ночи. У вас можно взять в аренду строительный пылесос?;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;Здравствуйте, меня зовут Александр, просили написать на Авито на прямую по поводу аренды шуруповерта и перфоратора.;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте, меня зовут Александр, просили написать на Авито на прямую по поводу аренды шуруповерта и перфоратора.;;;;;;;;;;;;;;;;;;;;;;;
сварочный аппарат;Здравствуйте, сварочник в аренду по какой цене?;;;;;;;;;;;;;;;;;;;;;;;
генератор;Здравствуйте  Какая цена аренды генератора ?   Нужен под мойку высокого давления;;;;;;;;;;;;;;;;;;;;;;;
пресс для труб РЕ-Х;Здравствуйте. Интересует аренда  аксиального гидравлического пресса для труб на следующую субботу. Есть у вас такой?;;;;;;;;;;;;;;;;;;;;;;;
сварочный полуавтомат;Здравствуйте, подскажите пожалуйста, какой у вас полуавтомат , и в какую сумму в аренду на сутки ?;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Здравствуйте, подскажите пожалуйста у вас сварочные аппараты для сварки нержавейки аргоном есть?;;;;;;;;;;;;;;;;;;;;;;;
дрель-шуруповерт;добрый день! подскажите пожалуйста, дрель и шуроповерт можно взять в аренду? цена?;;;;;;;;;;;;;;;;;;;;;;;
пароочиститель;Добрый день, сколько будет стоить аренда пароочистителя?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Добрый день, сколько будет стоить аренда строительного пылесоса с мешком для мусора?;;;;;;;;;;;;;;;;;;;;;;;
машина полировальная;Здравствуйте! Хотелось бы арендовать с утра 31.03.2026 на сутки ручную полировочную (шлифмашинку) машинку для полировки кафельной плитки;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Здравствуйте. Сколько у вас стоит взять в аренду торцовку самую маленькую?;;;;;;;;;;;;;;;;;;;;;;;
лобзик;Добрый вечер, подскажите пожалуйста, мне нужно выпилить квадратное отверстие в столешнице под мойку и под газовую плитку без духовки, у вас есть электрический или ручной лобзик?;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Добрый день. Интересует аренда торцовочной пилы, если не сложно дайте информацию по условиям;;;;;;;;;;;;;;;;;;;;;;;
бензорез;Здравствуйте. Подскажите пожалуйста бензорез у вас есть?;;;;;;;;;;;;;;;;;;;;;;;
газовый баллон;Добрый день  Интересует газовый баллон литров на 8-12  Можно арендовать?;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Добрый вечер.  А у вас электроинструменты в аренду есть ?  Пресс клещи, кримпера и тд;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;Здравствуйте! Нужен шуруповерт, завтра в районе 12;;;;;;;;;;;;;;;;;;;;;;;
УШМ;Здравствуйте! Нужна болгарка, завтра в районе 12;;;;;;;;;;;;;;;;;;;;;;;
бур для перфоратора;Добрый вечер, у вас есть бур по бетону, 20х600/22х600?;;;;;;;;;;;;;;;;;;;;;;;
УШМ аккумуляторная;Здравствуйте есть ли у вас УШМ на аккумуляторе?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый вечер. Возможно вас заинтересует покупка Дрель на магнитной станине Milwaukee MDE 42?);;;;;;;;;;;;;;;;;;;;;;;
пылесос;Добрый вечер. Скажите, сколько стоит аренда строительного пылесоса(уборка квартиры после установки дверей, подвесных потолков). С доставкой инструмента. Район Адмиралтейский. Ул. Набережная обводного канала.;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Добрый вечер. Скажите, сколько стоит аренда робота мойщика окон. С доставкой инструмента. Район Адмиралтейский. Ул. Набережная обводного канала.;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте! По чем аренда перфоратора, и есть ли доставка?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Здравствуйте! Нужен строительный пылесос на завтра;;;;;;;;;;;;;;;;;;;;;;;
генератор;Здравствуйте, в какую цену генератор 3 квт;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Добрый вечер. Что кроме оплаты аренды нужно чтобы оформить аренду строительного пылесоса?;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Добрый ,есть аппарат для сварки аргоном?;;;;;;;;;;;;;;;;;;;;;;;
лобзик;Добрый вечер, а лобзик есть?;;;;;;;;;;;;;;;;;;;;;;;
паяльник для ПВХ труб;Здравствуйте! Скажите, пожалуйста, есть ли у вас в прокате паяльник для сварки полипропиленовых труб и сколько стоит прокат на сутки?;;;;;;;;;;;;;;;;;;;;;;;
УШМ;Здравствуйте, мне нужно две болгарки. На 3 дня. Какие условия?;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;Здравствуйте, мне нужно шуруповерт. На 3 дня. Какие условия?;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Здравствуйте, мне нужна торцевочная пила. На 3 дня. Какие условия?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Добрый день, скажите пожалуйста возможно ли у вас взять в аренду перфоратор сегодня на сутки?;;;;;;;;;;;;;;;;;;;;;;;
УШМ аккумуляторная;Здравствуйте, у вас есть балгарка аккумуляторная?;;;;;;;;;;;;;;;;;;;;;;;
паркетно-шлифовальная машина;Здравствуйте, можете пожалуйста подобрать инструмент если у вас есть такой. Ситуация: паркет в старом фонде, был покрыт старой оранжевой краской, которая была снята вручную с помощью ленточной шлифмашинки. Сам по себе паркет с перепадами и не очень ровный, в некоторых щелях остались остатки краски. Хочется это все как-то привести в нормальный вид насколько это возможно. К идеальности не стримимся, но хотябы все сверху снять. Боимся что снимем слишком много (не знаю возможно ли это). Прилагаю фото;;;;;;;;;;;;;;;;;;;;;;;
сварочный полуавтомат;Здравствуйте! Сколько стоит аренда сварочного полуавтомата?;;;;;;;;;;;;;;;;;;;;;;;
машина полировальная;Добрый день, есть полировательная машинка?;;;;;;;;;;;;;;;;;;;;;;;
гвоздезабивной пистолет по дереву;Доброе утро, гвоздизабивной пистолет для вагонки есть у Вас?;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Здравствуйте. Сколько стоит аренда торцовки с диском по алюминию?;;;;;;;;;;;;;;;;;;;;;;;
лобзик;Здравствуйте. Нужен электролобзик на выходные, нахожусь в Сестрорецке. Где у вас ближайший пункт выдачи и какие инструменты доступны?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Доброе утро! Подскажите пожалуйста стоить проката перфоратора  на 1 час?;;;;;;;;;;;;;;;;;;;;;;;
дрель-шуруповерт;Здравствуйте! Хотел бы взять дрель , шуруповерт в аренду завтра на день . Сколько это будет стоить ?;;;;;;;;;;;;;;;;;;;;;;;
миксер;Здравствуйте! Хотел бы взять миксер в аренду завтра на день . Сколько это будет стоить ?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Добрый день! Подскажите, пожалуйста можно ли сегодня взять перфоратор? И какая будет стоимость?;;;;;;;;;;;;;;;;;;;;;;;
дрель-шуруповерт;Здравствуйте, нужна дрель или шуруповерт(что дешевле)  и сверло на 6  на пару часов;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Добрый день! Аренда перфоратора в какую цену?;;;;;;;;;;;;;;;;;;;;;;;
гвоздезабивной пистолет по бетону;Добрый вечер а у вас есть газовый монтажный пистолет Toua для электро монтажа?;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Здравствуйте. Есть торцовка комбинированная в прокат ?;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;Здравствуйте! Сколько будет стоить аренда шуруповерта?;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Здравствуйте! Хотела бы взять в аренду торцовочную пилу. Подскажите, пожалуйста, могу ли завтра? И сколько будет по стоимости?;;;;;;;;;;;;;;;;;;;;;;;
моющий пылесос;Добрый день! Нужен моющий строительный пылесос. Отмыть стены в сервисе от масла. Что посоветуете? Работаете сегодня? На каких условиях аренда?;;;;;;;;;;;;;;;;;;;;;;;
паркетно-шлифовальная машина;Здравствуйте,есть ли у вас напрокат циклевочная машина для пола с;;;;;;;;;;;;;;;;;;;;;;;
УШМ аккумуляторная;Здравствуйте, у вас есть аккумуляторная болгарка?;;;;;;;;;;;;;;;;;;;;;;;
дрель-шуруповерт;Добрый день! Подскажите сколько в аренду на 1 день будет стоить дрель;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Здравствуйте! Нужен нейлер telegram номер 911 948-78-14;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Здравствуйте , интересует аренда торцовочной пилы с диском для алюминия;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Здравствуйте. А есть перфоратор и коронка чтоб пробить стену в частном доме под вентканал? Диаметр трубы 100 мм.;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый день!;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;Здравствуйте! Хотел бы уточнить стоимость аренды шуруповерта на 1 день;;;;;;;;;;;;;;;;;;;;;;;
сабельная пила;Добрый день у вас сабельная пила с полотном идёт? Есть полотно под газоблоки?;;;;;;;;;;;;;;;;;;;;;;;
дрель-шуруповерт;Здравствуйте  дрель нужен на прокат, сколько будет стоить на день;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Добрый день! Какя цена перфоратора?;;;;;;;;;;;;;;;;;;;;;;;
паркетно-шлифовальная машина;Здравствуйте подскажите пожалуйста есть ли аренда циклевочной машины;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Здравствуйте, сколько в сутки стоит аренда торцовки с протяжкой?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Добрый день. Хотела бы арендовать на завтра перфоратор на сутки. Какая будет стоимость аренды? Нужна доставка на Магнитогорскую 3к2 (м. Новочеркасская). Также нужны сверла по бетону/кирпичу, если нет в комплекте;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Здравствуйте, пылесос строительный нужен , какие у вас и сколько стоят ?;;;;;;;;;;;;;;;;;;;;;;;
лобзик;Здравствуйте, скажите лобзик есть в аренду?;;;;;;;;;;;;;;;;;;;;;;;
подъемник ГКЛ;Добрый день, какой у вас подъемник ГКЛ для аренды есть? Модель?;;;;;;;;;;;;;;;;;;;;;;;
гвоздезабивной пистолет по дереву;Здравствуйте! У вас есть для аренды гвоздезабивной пистолет? Нужен для крепления наличников(может ошибаюсь, но вроде есть такие степлеры даже для этих целей).;;;;;;;;;;;;;;;;;;;;;;;
бур для перфоратора;Здравствуйте. Подскажите, есть ли у вас бур sds plus 32/ 600?;;;;;;;;;;;;;;;;;;;;;;;
присоска;Добрый вечер. Есть присоски для монтажа широкоформатной плитки?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте.сегодня можно взять в аренду перфоратор?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
сабельная пила аккумуляторная;Добрый день. Требуется аккумуляторная сабельная пила на сутки. Задача - распил силового кабеля диаметром около 50мм.. порядка 50 распилов. Есть подходящая пила?;;;;;;;;;;;;;;;;;;;;;;;
удлинитель электричексий;Здравствуйте. Интересует уличный удлинитель на 3квТ Какая стоимость аренды?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Добрый день,есть строительные пылесосы в аренду?убрать пыль от штукатурки и бетона с пола;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Добрый вечер А можно взять в аренду перфоратор? Нужно для снятия старой штукатурки  Можно доставкой до пискаревского проспекта 20?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый день. Вам алмазные диски не нужны? Не скупаете?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый день. Возможно вас заинтересует покупка гидравлического насаоса для дальнейшей сдачи его в аренду ?;;;;;;;;;;;;;;;;;;;;;;;
лобзик;Здравствуйте! Мне нужен Лобзик у вас имеется в наличии?;;;;;;;;;;;;;;;;;;;;;;;
паркетно-шлифовальная машина;добрый день, у вас есть циклевочная машина в аренду?;;;;;;;;;;;;;;;;;;;;;;;
фен аккумуляторный;Добрый день. Подскажите, пожалуйста, есть ли у вас в аренду аккумуляторный фен?  Нужно на несколько дней, замки на даче разморозить;;;;;;;;;;;;;;;;;;;;;;;
штроборез;Здравствуйте,  сколько будет стоить аренда штробореза;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Здравствуйте,  сколько будет стоить аренда пылесоса;;;;;;;;;;;;;;;;;;;;;;;
краскопульт;Здравствуйте , можно взять в аренду краскопульт с завтрашнего дня ?;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;здравствуйте есть шуруповерт ленточный ?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;тест;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Здравствуйте. Есть на завтра торцовка с 255 диском? Сколько аренда на сутки и какие условия аренды?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте!  Мне нужно в съемной квартире 2 полки установить, поэтому в поисках дрели.  Мне на пару часов буквально потребуются)  Сколько это по стоимости у вас выйдет?;;;;;;;;;;;;;;;;;;;;;;;
дрель-шуруповерт;Здравствуйте!  Мне нужно в съемной квартире 2 полки установить, поэтому в поисках шуруповерта.  Мне на пару часов буквально потребуются)  Сколько это по стоимости у вас выйдет?;;;;;;;;;;;;;;;;;;;;;;;
паркетно-шлифовальная машина;здравствуйте. есть шлифмашинки для реставрации пола на какой-то из выходных дней?;;;;;;;;;;;;;;;;;;;;;;;
УШМ;Доброе утро! Можно у вас взять болгарку (ушм) на два дня? Сколько будет стоить? И нужен ли залог?;;;;;;;;;;;;;;;;;;;;;;;
пила дисковая;Здравствуйте, есть в аренду циркулярная плита с углом поворота ? Сколько стоит ?;;;;;;;;;;;;;;;;;;;;;;;
реноватор аккумуляторный;Здравствуйте.  У вас имеется аккумуляторный ренноватор?;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Здравствуйте, хотела бы арендовать торцовочную пилу. Подскажите, можно ли взять доставкой?;;;;;;;;;;;;;;;;;;;;;;;
пила погружная;Доброе утро. Пила погружная с направляющими у вас найдется?  Спасибо;;;;;;;;;;;;;;;;;;;;;;;
отбойный молоток;Добрый вечер! Будет ли возможность забронировать перфоратор с зубилом(если имеется) на 11.02 или 12.02 с доставкой ?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Привет;;;;;;;;;;;;;;;;;;;;;;;
паркетно-шлифовальная машина;Здравствуйте. У вас есть аренда циклевочной машины для паркета?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый день. Заключение договора на аренду с пропиской в СПБ?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте, нужен перфоратор в аренду. 2 отверстия сделать;;;;;;;;;;;;;;;;;;;;;;;
генератор;Добрый день! Подскажите стоимость аренды генераторов. Нам нужен один генератор 5 кВт, и 2 генератора по 3 кВт. дата 21 февраля, время с 10:00 до 16:00  Подскажите сразу по стоимости бензина и доставки, адрес ул. Турку 23к1;;;;;;;;;;;;;;;;;;;;;;;
машина полировальная;Добрый день  Подскажите пожалуйста  Есть у вас в наличии полировальная машинка ?;;;;;;;;;;;;;;;;;;;;;;;
нейлер пневматический;Добрый вечер! Подскажите пожалуйста стоимость аренды пневматического степлера?;;;;;;;;;;;;;;;;;;;;;;;
компрессор;Добрый вечер! Подскажите пожалуйста стоимость аренды компрессора?;;;;;;;;;;;;;;;;;;;;;;;
гвоздезабивной пистолет по бетону;Здравствуйте, есть гвоздезабивной пистолет по бетону ? Нужен на 80 грибы;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
вопрос по режиму работы;Добрый день ! Вчера брал сабельную пилу  До которого часа не обходимо сегодня вернуть?   89219347466 Джабаров Арзу;;;;;;;;;;;;;;;;;;;;;;;
дрель-шуруповерт;Здравствуйте, аренда дрели сколько стоит?;;;;;;;;;;;;;;;;;;;;;;;
сварочный аппарат;Здравствуйте, есть ли сварочный аппарат и какая цена?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;звонила, пишу для сохранения! не обращайте внимания;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Здравствуйте ! У вас есть пила по камню диаметра 80?;;;;;;;;;;;;;;;;;;;;;;;
фен аккумуляторный;Добрый день, подскажите у вас есть строительный фен  аккумуляторный?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Добрый день перфоратор в аренду сколько будет стоить на день?;;;;;;;;;;;;;;;;;;;;;;;
фен аккумуляторный;Добрый вечер! А есть аккумуляторный фен?;;;;;;;;;;;;;;;;;;;;;;;
машина полировальная;Добрый день! Есть или к Вас в наличии полировальная машина с регулировкой оборотов?;;;;;;;;;;;;;;;;;;;;;;;
фен;Здравствуйте! У вас есть строительные фены в аренду?;;;;;;;;;;;;;;;;;;;;;;;
лазерный уровень;Здравствуйте, сколько стоит аренда лазерного уровня?;;;;;;;;;;;;;;;;;;;;;;;
дрель-шуруповерт;Здравствуйте, сколько будет стоить аренда дрели на пару часов?;;;;;;;;;;;;;;;;;;;;;;;
жираф;Добрый день. Подскажите, есть ли в наличии машинка для шлифовки стен и потолков, стоимость аренды и залога?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;Здравствуйте, подскажите пожалуйста, нам нужен в аренду шуроповерт и шестигранный ключ ( но только больше универсального, для разбора дивана). Сколько это будет стоить по цене, если арендовать его у вас на сутки, с 18:00;;;;;;;;;;;;;;;;;;;;;;;
миксер;Здравствуйте, сколько стоит аренда строительного миксера?;;;;;;;;;;;;;;;;;;;;;;;
виброплита;добрый вечер! есть у вас трамбовка с доставкой?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте нужен перфоратор сколько стоит прокат? Хотим установить кронштейн;;;;;;;;;;;;;;;;;;;;;;;
миксер;Здравствуйте, сколько стоит аренда миксера строительного;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Здравствуйте, сколько стоит аренда строительного пылесоса;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;Здравствуйте, сколько будет стоит шуруповерт?;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Здравствуйте, у вас есть набор инструментов: пассатижи, гаечный ключ ?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуй;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Добрый вечер. Нужна торцевая пила со столом.;;;;;;;;;;;;;;;;;;;;;;;
фрезер;Добрый вечер. Нужен фрезер для монтажа МК дверей. Есть по наличию?;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Здравствуйте. Подскажите пожалуйста стоимость торцовочной пилы на сутки и есть ли диск по алюминию;;;;;;;;;;;;;;;;;;;;;;;
паркетно-шлифовальная машина;Доброе утро. Хочу взять напрокат ципливочную машину. Какая стоимость за сутки?;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Здравствуйте, можно взять в аренду торцевую пилу ?;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;Здравствуйте  Аренда шуруповерта какая стоимость? Залог?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Добрый день! Подскажите стоимость аренды пылесоса в час?;;;;;;;;;;;;;;;;;;;;;;;
лестница-трансформер;Здравствуйте,в какую цену арендовать лестницу трансформер на сутки?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Сообщение удалено;;;;;;;;;;;;;;;;;;;;;;;
шлифовальная машина;Добрый день! Подскажите, есть ли в аренду шлиф машина? Сколько стоит взять на день?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Добрый день! Подскажите, есть ли в аренду пылесос? Сколько стоит взять на день?;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Здравствуйте. Интересует шиногиб ручной. Есть такое в прокат?;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Здравствуйте, подскажите нет ли у вас аккумуляторной пилы?;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Здраввствуйте !  Интересует настольная пила в аренду есть что то ?  Наподобие такого:;;;;;;;;;;;;;;;;;;;;;;;
паркетно-шлифовальная машина;Добрый день. Сколько будет стоить аренда циклевлчной машины? Какая модель у вас?;;;;;;;;;;;;;;;;;;;;;;;
УШМ;Добрый день, есть в аренду болгарка 230 мм?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Добрый вечер Интересует на завтра аренда перфоратора на сутки;;;;;;;;;;;;;;;;;;;;;;;
пила дисковая;Здравствуйте, нужна цирц пила на сутки. Завтра можно взять в аренду?;;;;;;;;;;;;;;;;;;;;;;;
пушка газовая;Добрый вечер, подскажите пожалуйста, газовую пушку завтра с утра можно взять на сутки? Сколько будет стоить?;;;;;;;;;;;;;;;;;;;;;;;
дрель для алмазного бурения;Здравствуйте, у вас есть дрель с микро ударом для подразетников ?;;;;;;;;;;;;;;;;;;;;;;;
сварочный полуавтомат;Здравствуйте ,сколько стоит на прокат сварочник полуавтомат  с баллоном?;;;;;;;;;;;;;;;;;;;;;;;
УШМ;Здравствуйте , большая болгарка интересует на 5 дней;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
УШМ;Добрый день у вас есть болгарка 250 с кожухом забора пыли?;;;;;;;;;;;;;;;;;;;;;;;
лестница;Здравствуйте, сколько стоит аренда шести ступенчатой стремянки ?;;;;;;;;;;;;;;;;;;;;;;;
фрезер;Добрый день, не дозвонился вам. Скажите, фрезер можно взять в аренду? И какая у него цанга, 8 или 12мм, есть ли параллельный упор?;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Добрый вечер. Тарчовка не освободилась?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый день!  Вы даёте платные консультации?  Планируем запустить в нашем городе Нижникамске бизнес, подобный вашему. Есть время, место и возможность. Но чтобы не распыляться и быть максимально эффективными уже на старте, нам нужны ответы на некотрые вопросы.  Список из 5-10 самых интересных позиции для проката.  Тарифы аренды на указанных выше позиции.  Условия предоставления оборудования в аренду.  Сколько будут стоить ответы на мои вопросы?  Заранее спасибо, за обратную связь!;;;;;;;;;;;;;;;;;;;;;;;
краскопульт;здравствуйте  а сколько стоит аренда краскопульта? на 3 дня;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Сколько будет стоить пила торцовочная за сутки?;;;;;;;;;;;;;;;;;;;;;;;
лобзик;Здравствуйте! подскажите сколько будет стоить лобзик в аренду;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Добрый вечер, интересует строительный пылесос на завтра;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый вечер;;;;;;;;;;;;;;;;;;;;;;;
УШМ;Здравствуйте, хочу узнаь стоимость аренды болгарки ?;;;;;;;;;;;;;;;;;;;;;;;
вопрос по режиму работы;Здравствуйте. Работаете?;;;;;;;;;;;;;;;;;;;;;;;
лазерный уровень;Здравствуйте,  Будет ли в наличии лазерный нивелир на сутки в пятницу? И что по стоимости?;;;;;;;;;;;;;;;;;;;;;;;
миксер;Добрый день! Нужны в аренду: Строительный миксер;;;;;;;;;;;;;;;;;;;;;;;
штроборез;Добрый день! Нужны в аренду: Штроборез;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Добрый день! Нужны в аренду: Перфоратор;;;;;;;;;;;;;;;;;;;;;;;
подъемник ГКЛ;Здравствуйте. Хочу арендовать у вас подьемник для глк на 6-7 января.;;;;;;;;;;;;;;;;;;;;;;;
вопрос по режиму работы;Здравствуйте,работаете?;;;;;;;;;;;;;;;;;;;;;;;
пила дисковая;Здравствуйте! Сколько стоит аренда паркетки?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Добрый день!  Подскажите стоимость аренды перфоратора  ?);;;;;;;;;;;;;;;;;;;;;;;
вопрос по режиму работы;Здравствуйте,вы завтра работаете?;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;Добрый вечер! Мне нужны инструменты: шуруповёрт. У вас есть такое, если да, то сколько это будет стоить?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Добрый вечер! Мне нужны инструменты: перфоратор. У вас есть такое, если да, то сколько это будет стоить?;;;;;;;;;;;;;;;;;;;;;;;
лазерный уровень;Добрый вечер! Мне нужны инструменты: уровень. У вас есть такое, если да, то сколько это будет стоить?;;;;;;;;;;;;;;;;;;;;;;;
